abordagens tradicionais das relações internacionais	contextualização histórica da emergência das teorias de relações internacionais. matrizes filosóficas. realismo. idealismo. debate clássico realismo versus idealismo. escola inglesa. behaviorismo. debate metodológico. neoliberalismo. neorrealismo. teoria da interdependência complexa. neoinstitucionalismo. cooperação e conflito. sociedade internacional, anarquia. regimes internacionais.
acionamentos elétricos	introdução aos sistemas de acionamentos elétricos; elementos de um sistema de acionamento elétrico; ponto de operação e estabilidade; operação motora e frenante de um sistema de acionamento; perdas no acionamento elétrico; operação e controle de máquinas de corrente alternada com tensão e freqüência variáveis para acionamentos elétricos; conversores de freqüência alimentados por tensão; algoritmos de geração de sinais pwm; simulação de acionamentos de potência: diodo, tiristor, gto, transistor bipolar de potência, mosfet e igbt.
acumuladores de energia	acumulação de energia por fotossínteses. fluxos de energia nos ecossistemas. características da lenha. características do carvão vegetal. acumulação de combustíveis fósseis. origem do petróleo. propriedades básicas dos reservatórios. armazenamento de combustíveis em tanques. acumulação de energia cinética e potencial. molas. acumuladores hidráulicos. volantes de inércia. acumuladores térmicos. acumuladores de calor de baixa, moderada e elevada temperatura.acumuladores por mudança de fase. caixas de rochas. paredes de acumulação. aquecimento de água. acumuladores de energia elétrica. ar comprimido. acumulação bombeada. flywheels. baterias eletroquímicas. armazenagem de energia em supercondutores e supercapacitores. acumulação de energia em forma de hidrogênio. tecnologias de produção de hidrogênio. métodos de armazenamento de hidrogênio. problemas e exercícios práticos.
administração pública e reforma do estado em perspectiva comparada	estado, política e administração pública; crise e reforma do estado: as diversas respostas; a nova gestão pública; formas de responsabilização e accountability da administração pública; a experiência internacional da reforma do estado; as experiências brasileiras da reforma do estado; a agenda atual.
aeroacústica	fundamentos de acústica e propagação de ondas sonoras aplicados a escoamentos internos e externos. analogia acústica de lighthill. irradiação de ondas acústicas por superfície sólidas. efeitos de escoamento uniforme e não uniforme na propagação de ondas acústicas. física de geração de ruído por jatos de fluídos. teoria de geração de ruído no bordo de fuga de asas. caracterização e estimação de fontes de ruído encontradas em turbomáquinas e aeronaves. técnicas de redução de ruído gerado por aeronaves.
aerodinâmica i	sustenção; teoria do perfil delgado; condição de kutta-jukowiski; método das singularidades (fontes e vórtices); método de transpiração; transformação conforme; solução numérica: soluções da equação de poisson e método dos painéis. teoria dos perfis naca. esteira. aerodinâmica em regime supersônico. efeitos da turbulência.
aerodinâmica ii	método da linha de sustentação. método da superfície de sustentação. técnicas de análise de escoamento hipersônico.
aeroelasticidade	comportamento aeroelástico de veículos aeroespaciais e outras estruturas. elasticidade estática e seu impacto no desempenho de superfícies de levantamento. conceitos fundamentais de aerodinâmica não permanente e técnicas computacionais modernas. aeroelasticidade dinâmica de uma seção típica de um veículo aeroespacial. interação fluido-estrutura.
aeronáutica i-a	conhecimentos técnicos sobre aviões: anatomia do avião, sistemas e instrumentos de voo; princípios de operação do grupo moto propulsor; limitações e informações operacionais. teoria de voo: princípios de voo de aviões; introdução à aerodinâmica; noções de desempenho e limitações humanas.
aeronáutica i-b	conhecimentos técnicos sobre helicópteros: anatomia do helicóptero, sistemas e instrumentos de voo; princípios de operação do grupo moto propulsor; limitações e informações operacionais. teoria de voo: princípios de voo de aeronaves de asas rotativas; introdução à aerodinâmica de helicópteros.
